buurt,wijk
Planciusbuurt-Noord,Haarlemmerbuurt
Westelijke eilanden,Haarlemmerbuurt
Westerdokseiland,Haarlemmerbuurt
Planciusbuurt-Zuid,Haarlemmerbuurt
Haarlemmerbuurt-West,Haarlemmerbuurt
Haarlemmerbuurt-Oost,Haarlemmerbuurt
Marnixbuurt-Noord,Jordaan
Driehoekbuurt,Jordaan
Anjeliersbuurt-Noord,Jordaan
Zaagpoortbuurt,Jordaan
Anjeliersbuurt-Zuid,Jordaan
Marnixbuurt-Midden,Jordaan
Bloemgrachtbuurt,Jordaan
Groenmarktkadebuurt,Jordaan
Marnixbuurt-Zuid,Jordaan
Elandsgrachtbuurt,Jordaan
Passeerdersgrachtbuurt,Jordaan
Langestraat e.o.,Grachtengordel-West
Leliegracht e.o.,Grachtengordel-West
Felix Meritisbuurt,Grachtengordel-West
Leidsegracht-Noord,Grachtengordel-West
Stationsplein e.o.,Burgwallen-Nieuwe Zijde
Hemelrijk,Burgwallen-Nieuwe Zijde
Nieuwendijk-Noord,Burgwallen-Nieuwe Zijde
Spuistraat-Noord,Burgwallen-Nieuwe Zijde
Nieuwe Kerk e.o.,Burgwallen-Nieuwe Zijde
Spuistraat-Zuid,Burgwallen-Nieuwe Zijde
Begijnhofbuurt,Burgwallen-Nieuwe Zijde
Kalverdriehoek,Burgwallen-Nieuwe Zijde
Kop Zeedijk,Burgwallen-Oude Zijde
Oude Kerk e.o.,Burgwallen-Oude Zijde
Burgwallen-Oost,Burgwallen-Oude Zijde
Nes e.o.,Burgwallen-Oude Zijde
BG-terrein e.o.,Burgwallen-Oude Zijde
Oosterdokseiland,Nieuwmarkt/Lastage
Lastage,Nieuwmarkt/Lastage
Scheepvaarthuisbuurt,Nieuwmarkt/Lastage
Rapenburg,Nieuwmarkt/Lastage
Nieuwmarkt,Nieuwmarkt/Lastage
Uilenburg,Nieuwmarkt/Lastage
Valkenburg,Nieuwmarkt/Lastage
Zuiderkerkbuurt,Nieuwmarkt/Lastage
Waterloopleinbuurt,Nieuwmarkt/Lastage
Leidsegracht-Zuid,Grachtengordel-Zuid
Geelvinckbuurt,Grachtengordel-Zuid
Rembrandtplein e.o.,Grachtengordel-Zuid
Spiegelbuurt,Grachtengordel-Zuid
Vijzelstraatbuurt,Grachtengordel-Zuid
Amstelveldbuurt,Grachtengordel-Zuid
Leidsebuurt-Noordwest,De Weteringschans
Leidsebuurt-Noordoost,De Weteringschans
Weteringbuurt,De Weteringschans
Utrechtsebuurt-Zuid,De Weteringschans
Leidsebuurt-Zuidwest,De Weteringschans
Leidsebuurt-Zuidoost,De Weteringschans
Den Texbuurt,De Weteringschans
Frederikspleinbuurt,De Weteringschans
Weesperbuurt,Weesperbuurt/Plantage
Plantage,Weesperbuurt/Plantage
Sarphatistrook,Weesperbuurt/Plantage
Alexanderplein e.o.,Weesperbuurt/Plantage
Marine-Etablissement,Oostelijke Eilanden/Kadijken
Kattenburg,Oostelijke Eilanden/Kadijken
Wittenburg,Oostelijke Eilanden/Kadijken
Oostenburg,Oostelijke Eilanden/Kadijken
Czaar Peterbuurt,Oostelijke Eilanden/Kadijken
Het Funen,Oostelijke Eilanden/Kadijken
Kadijken,Oostelijke Eilanden/Kadijken
Kazernebuurt,Oostelijke Eilanden/Kadijken
Afrikahaven,Havens-West
Amerikahaven,Havens-West
Westhaven-Noord,Havens-West
Petroleumhaven,Havens-West
Vervoerscentrum,Havens-West
Westhaven-Zuid,Havens-West
Coenhaven,Coenhaven/Minervahaven
Vlothaven,Coenhaven/Minervahaven
Minervahaven-Noordoost,Coenhaven/Minervahaven
Minervahaven-Noordwest,Coenhaven/Minervahaven
Minervahaven-Zuidwest,Coenhaven/Minervahaven
Minervahaven-Zuidoost,Coenhaven/Minervahaven
Alfa-driehoek,Coenhaven/Minervahaven
Hemknoop-Noord,Coenhaven/Minervahaven
Isolatorbuurt,Sloterdijk-West
Contactbuurt,Sloterdijk-West
Woon- en Groengebied Sloterdijk,Sloterdijk-West
Hemknoop-Zuid,Spaarndammerbuurt/Zeeheldenbuurt
Overbraker Binnenpolder,Spaarndammerbuurt/Zeeheldenbuurt
Zaanstraat emplacement,Spaarndammerbuurt/Zeeheldenbuurt
Spaarndammerbuurt-Noordwest,Spaarndammerbuurt/Zeeheldenbuurt
Spaarndammerbuurt-Midden,Spaarndammerbuurt/Zeeheldenbuurt
Spaarndammerbuurt-Zuidwest,Spaarndammerbuurt/Zeeheldenbuurt
Spaarndammerbuurt-Noordoost,Spaarndammerbuurt/Zeeheldenbuurt
Zeeheldenbuurt,Spaarndammerbuurt/Zeeheldenbuurt
Westergasfabriek,Spaarndammerbuurt/Zeeheldenbuurt
Spaarndammerbuurt-Zuidoost,Spaarndammerbuurt/Zeeheldenbuurt
Houthavens-West,Houthavens
Houthavens-Oost,Houthavens
Kolenkitbuurt-Noord,De Kolenkit
Kolenkitbuurt-Zuid,De Kolenkit
Laan van Spartaan,De Kolenkit
Robert Scottbuurt-West,De Kolenkit
Bosleeuw,Landlust
Gibraltarbuurt,Landlust
Bedrijventerrein Landlust,Landlust
Landlust-Noord,Landlust
Erasmusparkbuurt-Oost,Landlust
Landlust-Zuid,Landlust
Robert Scottbuurt-Oost,Erasmuspark
Erasmusparkbuurt-West,Erasmuspark
Bedrijvencentrum Westerkwartier,Centrale Markt
GWL-terrein,Centrale Markt
Markthallen,Centrale Markt
Marcanti,Centrale Markt
Westerstaatsman,Staatsliedenbuurt
Fannius Scholtenbuurt,Staatsliedenbuurt
Staatsliedenbuurt-Noordoost,Staatsliedenbuurt
De Wittenbuurt-Noord,Staatsliedenbuurt
De Wittenbuurt-Zuid,Staatsliedenbuurt
Buyskade e.o.,Staatsliedenbuurt
Frederik Hendrikbuurt-Noord,Frederik Hendrikbuurt
Frederik Hendrikbuurt-Zuidwest,Frederik Hendrikbuurt
