url,title,post_type,postcode,wijk,wijk_code,buurt,buurt_code,price,rooms,surface,furnished
https://www.pararius.nl/appartement-te-koop/amsterdam/5b8fac18/haarlemmerweg,Appartement Haarlemmerweg 326,Buy,1014 BL,Sloterdijk-West,WK0363EA,Woon- en Groengebied Sloterdijk,BU0363EA03,350000,1,38,
https://www.pararius.nl/appartement-te-koop/amsterdam/9ada59e4/van-boshuizenstraat,Appartement Van Boshuizenstraat 3,Buy,1083 AP,Buitenveldert-Oost,WK0363KR,Buitenveldert-Zuidoost,BU0363KR03,300000,1,43,
https://www.pararius.nl/house-for-rent/amsterdam/1cc532d7/ward-bingleystraat,House Ward Bingleystraat,Rent,1065 TK,Slotervaart-Zuid,WK0363FN,Jacques Veltmanbuurt,BU0363FN02,2075,2,76,Furnished
https://www.pararius.nl/appartement-te-koop/amsterdam/9e1cb69f/tielstraat,Appartement Tielstraat 70,Buy,1107 RB,Reigersbos,WK0363TL,Reigersbos 3,BU0363TL03,265000,2,61,
https://www.pararius.nl/appartement-te-koop/amsterdam/bced9979/burgemeester-hogguerstraat,Appartement Burgemeester Hogguerstraat 75,Buy,1064 CK,Slotermeer-Zuidoost,WK0363FE,Noordoever Sloterplas,BU0363FE03,350000,2,45,
https://www.pararius.nl/appartement-te-koop/amsterdam/48775b9d/nigellestraat,Appartement Nigellestraat 1,Buy,1032 BH,Volewijck,WK0363NK,Bloemenbuurt-Noord,BU0363NK01,350000,2,58,
https://www.pararius.nl/appartement-te-koop/amsterdam/d263d237/van-boshuizenstraat,Appartement Van Boshuizenstraat 199,Buy,1083 AV,Buitenveldert-Oost,WK0363KR,Buitenveldert-Zuidoost,BU0363KR03,350000,2,43,
https://www.pararius.nl/appartement-te-koop/amsterdam/f27f5982/burgemeester-hogguerstraat,Appartement Burgemeester Hogguerstraat 791 H,Buy,1064 EB,Slotermeer-Zuidoost,WK0363FE,Noordoever Sloterplas,BU0363FE03,350000,2,50,
https://www.pararius.nl/appartement-te-koop/amsterdam/9a7de5e0/papendrechtstraat,Appartement Papendrechtstraat 107,Buy,1106 BN,Reigersbos,WK0363TL,Reigersbos 1,BU0363TL01,275000,2,60,
https://www.pararius.nl/appartement-te-koop/amsterdam/6eb2acbf/hogevecht,Appartement Hogevecht 108,Buy,1102 HE,H-buurt,WK0363TD,Rechte H-buurt,BU0363TD02,275000,2,64,
