page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/c097ca2a/haarlemmerweg,Rent,Amsterdam,,Flat Haarlemmerweg,Flat,1014 BL,1699,per month,70,m2,3,,1014 BL,Amsterdam,GM0363,Sloterdijk-West,WK0363EA,Woon- en Groengebied Sloterdijk,BU0363EA03,Bos en Lommer,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/03e1e7a6/jan-de-jonghkade,Rent,Amsterdam,,Flat Jan de Jonghkade,Flat,1063 MH,2150,per month,100,m2,3,Upholstered,1063 MH,Amsterdam,GM0363,Slotermeer-Noordoost,WK0363FD,Dobbebuurt,BU0363FD04,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/4359c725/cola-debrotstraat,Rent,Amsterdam,,Flat Cola Debrotstraat,Flat,1087 VJ,3000,per month,160,m2,4,Furnished,1087 VJ,Amsterdam,GM0363,IJburg-Oost,WK0363MK,Centrumeiland,BU0363MK04,IJburg / Eiland Zeeburg,Stadsdeel Oost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/da2540ed/haparandadam,Rent,Amsterdam,,Flat Haparandadam,Flat,1013 AK,3400,per month,128,m2,4,Furnished,1013 AK,Amsterdam,GM0363,Coenhaven/Minervahaven,WK0363BB,Minervahaven-Zuidoost,BU0363BB06,Westpoort,Westpoort,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/0733cd5b/tweede-constantijn-huygensstraat,Rent,Amsterdam,,Flat Tweede Constantijn Huygensstraat 73 1,Flat,1054 CS,2750,per month,89,m2,3,Furnished,1054 CS,Amsterdam,GM0363,Vondelparkbuurt,WK0363EV,Vondelparkbuurt-Oost,BU0363EV02,Oud West / De Baarsjes,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/b894de98/parnassusweg,Rent,Amsterdam,,Flat Parnassusweg,Flat,1076 AT,2450,per month,100,m2,3,Furnished,1076 AT,Amsterdam,GM0363,Prinses Irenebuurt e.o.,WK0363KN,Prinses Irenebuurt,BU0363KN01,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/81b4cdbf/jan-de-jonghstraat,Rent,Amsterdam,,Flat Jan de Jonghstraat,Flat,1063 MB,1950,per month,70,m2,3,Furnished,1063 MB,Amsterdam,GM0363,Slotermeer-Noordoost,WK0363FD,Dobbebuurt,BU0363FD04,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/78a2091c/zilverschoonstraat,Rent,Amsterdam,,Flat Zilverschoonstraat 11 1,Flat,1031 BC,1825,per month,94,m2,4,,1031 BC,Amsterdam,GM0363,Volewijck,WK0363NK,Van der Pekbuurt,BU0363NK03,Oud-Noord,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/8288c991/vondelstraat,Rent,Amsterdam,,Flat Vondelstraat,Flat,1054 GD,4000,per month,161,m2,5,Furnished,1054 GD,Amsterdam,GM0363,Vondelparkbuurt,WK0363EV,Vondelparkbuurt-Oost,BU0363EV02,Oud West / De Baarsjes,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/f99a5137/cola-debrotstraat,Rent,Amsterdam,,Flat Cola Debrotstraat,Flat,1087 VJ,3100,per month,160,m2,4,Furnished,1087 VJ,Amsterdam,GM0363,IJburg-Oost,WK0363MK,Centrumeiland,BU0363MK04,IJburg / Eiland Zeeburg,Stadsdeel Oost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/3b4f96d3/dijkgraafplein,Rent,Amsterdam,,Flat Dijkgraafplein,Flat,1069 EK,2850,per month,100,m2,4,Furnished,1069 EK,Amsterdam,GM0363,De Punt,WK0363FH,Dijkgraafpleinbuurt,BU0363FH02,Osdorp,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/631cbad4/burgemeester-hogguerstraat,Rent,Amsterdam,,Flat Burgemeester Hogguerstraat,Flat,1064 CL,2000,per month,78,m2,3,Upholstered,1064 CL,Amsterdam,GM0363,Slotermeer-Zuidoost,WK0363FE,Noordoever Sloterplas,BU0363FE03,Geuzenveld-Slotermeer-Sloterdijken,Stadsdeel Nieuw-West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/02e808a6/goereestraat,Buy,Amsterdam,,Huis Goereestraat 6,Huis,1025 NJ,595000,k.k.,73,m2,3,,1025 NJ,Amsterdam,GM0363,Tuindorp Buiksloot,WK0363NM,Blauwe Zand,BU0363NM01,Oud-Noord,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/a615ac5f/zuid-bevelandstraat,Buy,Amsterdam,,Huis Zuid-Bevelandstraat 8,Huis,1025 NT,585000,k.k.,73,m2,5,,1025 NT,Amsterdam,GM0363,Tuindorp Buiksloot,WK0363NM,Blauwe Zand,BU0363NM01,Oud-Noord,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/9e622129/willem-pijperstraat,Buy,Amsterdam,,Huis Willem Pijperstraat 66,Huis,1077 XM,1566000,k.k.,168,m2,6,,1077 XM,Amsterdam,GM0363,Prinses Irenebuurt e.o.,WK0363KN,Prinses Irenebuurt,BU0363KN01,Buitenveldert / Zuidas,Stadsdeel Zuid,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/c8abb62a/burgemeester-kasteleinstraat,Buy,Amsterdam,,Huis Burgemeester Kasteleinstraat 79,Huis,1109 BB,550000,k.k.,128,m2,4,,1109 BB,Amsterdam,GM0363,Driemond,WK0363SA,Dorp Driemond,BU0363SA02,Weesp,Weesp,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/108a109c/dorpsweg-ransdorp,Buy,Amsterdam,,Huis Dorpsweg Ransdorp 93,Huis,1028 BL,995000,k.k.,181,m2,5,,1028 BL,Amsterdam,GM0363,Waterland,WK0363NQ,Ransdorp,BU0363NQ09,Oost,Stadsdeel Noord,2024
