latitude,longitude,resolution
52.27,4.7495,40x40_lowdensityareas
52.2635,4.7620000000000005,40x40_lowdensityareas
52.2635,4.7745,40x40_lowdensityareas
52.27,4.7620000000000005,40x40_lowdensityareas
52.233,4.6865,40x40_lowdensityareas
52.233,4.6995000000000005,40x40_lowdensityareas
52.239,4.6865,40x40_lowdensityareas
52.239,4.6995000000000005,40x40_lowdensityareas
52.245,4.712,40x40_lowdensityareas
52.245,4.7245,40x40_lowdensityareas
52.251,4.712,40x40_lowdensityareas
52.251,4.7245,40x40_lowdensityareas
52.251,4.737,40x40_lowdensityareas
52.251,4.7495,40x40_lowdensityareas
52.251,4.7620000000000005,40x40_lowdensityareas
52.257,4.7245,40x40_lowdensityareas
52.257,4.737,40x40_lowdensityareas
52.257,4.7495,40x40_lowdensityareas
52.257,4.7620000000000005,40x40_lowdensityareas
52.257,4.7745,40x40_lowdensityareas
52.2635,4.737,40x40_lowdensityareas
52.2635,4.7495,40x40_lowdensityareas
52.2635,4.7875,40x40_lowdensityareas
52.27,4.8,40x40_lowdensityareas
52.276,4.8,40x40_lowdensityareas
52.282,4.8,40x40_lowdensityareas
52.282,4.8125,40x40_lowdensityareas
52.288,4.8125,40x40_lowdensityareas
52.27,4.7745,40x40_lowdensityareas
52.27,4.7875,40x40_lowdensityareas
52.276,4.7745,40x40_lowdensityareas
52.276,4.7875,40x40_lowdensityareas
52.282,4.7875,40x40_lowdensityareas
52.288,4.8,40x40_lowdensityareas
52.294,4.8,40x40_lowdensityareas
52.294,4.8125,40x40_lowdensityareas
52.3,4.8,40x40_lowdensityareas
52.3,4.8125,40x40_lowdensityareas
52.306,4.8375,40x40_lowdensityareas
52.312,4.825,40x40_lowdensityareas
52.312,4.8375,40x40_lowdensityareas
52.318,4.825,40x40_lowdensityareas
52.318,4.8375,40x40_lowdensityareas
52.318,4.85,40x40_lowdensityareas
52.324,4.825,40x40_lowdensityareas
52.324,4.8375,40x40_lowdensityareas
52.324,4.85,40x40_lowdensityareas
52.33,4.85,40x40_lowdensityareas
52.306,4.8755,40x40_lowdensityareas
52.3,4.8755,40x40_lowdensityareas
52.282,4.8375,40x40_lowdensityareas
52.288,4.8375,40x40_lowdensityareas
52.3,4.888,40x40_lowdensityareas
52.306,4.888,40x40_lowdensityareas
52.306,4.9005,40x40_lowdensityareas
52.312,4.888,40x40_lowdensityareas
52.312,4.9005,40x40_lowdensityareas
52.318,4.888,40x40_lowdensityareas
52.318,4.9005,40x40_lowdensityareas
52.306,4.8625,40x40_lowdensityareas
52.312,4.8625,40x40_lowdensityareas
52.288,4.8625,40x40_lowdensityareas
52.294,4.8755,40x40_lowdensityareas
52.288,4.85,40x40_lowdensityareas
52.294,4.8625,40x40_lowdensityareas
52.294,4.85,40x40_lowdensityareas
52.3,4.8625,40x40_lowdensityareas
52.318,4.8755,40x40_lowdensityareas
52.276,4.8625,40x40_lowdensityareas
52.257,4.8125,40x40_lowdensityareas
52.257,4.825,40x40_lowdensityareas
52.257,4.8375,40x40_lowdensityareas
52.2635,4.8,40x40_lowdensityareas
52.2635,4.8125,40x40_lowdensityareas
52.2635,4.825,40x40_lowdensityareas
52.27,4.8125,40x40_lowdensityareas
52.27,4.825,40x40_lowdensityareas
52.282,4.9635,40x40_lowdensityareas
52.288,4.9505,40x40_lowdensityareas
52.288,4.9635,40x40_lowdensityareas
52.402,4.913,40x40_lowdensityareas
52.408,4.913,40x40_lowdensityareas
52.324,4.9505,40x40_lowdensityareas
52.324,4.938000000000001,40x40_lowdensityareas
52.318,4.976,40x40_lowdensityareas
52.324,4.976,40x40_lowdensityareas
52.324,4.9885,40x40_lowdensityareas
52.33,4.976,40x40_lowdensityareas
52.318,4.9635,40x40_lowdensityareas
52.324,4.9635,40x40_lowdensityareas
52.318,4.9885,40x40_lowdensityareas
52.312,4.976,40x40_lowdensityareas
52.396,4.938000000000001,40x40_lowdensityareas
52.324,4.888,40x40_lowdensityareas
52.324,4.8755,40x40_lowdensityareas
52.378,4.8375,40x40_lowdensityareas
52.354,4.7875,40x40_lowdensityareas
52.306,5.0135,40x40_lowdensityareas
