postcode,latitude,longitude
1103SE,52.32215651,4.98118493
1103TV,52.3228407,4.97562196
1073ST,52.35247561,4.90216427
1106AG,52.29794228,4.97468198
1065LW,52.35647064,4.82036229
1066LK,52.3501906,4.81811242
1103SC,52.32358163,4.97814803
1015RR,52.37592724,4.88040499
1058VG,52.36053588,4.85422941
1078LM,52.34418398,4.89623284
1103GZ,52.32168996,4.97674011
1072BW,52.3554343,4.8883824
1063MD,52.37868886,4.82406513
1058NL,52.35293898,4.85128325
1017VK,52.36285317,4.8988125
1034BM,52.40771694,4.91771357
1106JG,52.29725731,4.97209236
1073GP,52.35077479,4.89595094
1055DW,52.37855586,4.85022126
1072GZ,52.35100402,4.88846394
1075TL,52.35302754,4.85491873
1024KM,52.39313858,4.95581958
1012TA,52.37742872,4.89334589
1107HV,52.29453797,4.97877513
1087HJ,52.35508166,5.0039647
1104TX,52.31796392,4.97254361
1057PX,52.3656937,4.85196019
