source,city,postcode,type,price,surface,rooms,furnished,latitude,longitude,postType
Kamernet,amsterdam,1103SE, - Apartment ," € 3120,-  ",120 m2,,Unfurnished,52.322159,4.981188,Rent
Kamernet,amsterdam,1103TV, - Room ," € 675,-  ",12 m2,,Unfurnished,52.322843,4.975625,Rent
Kamernet,amsterdam,1073ST, - Apartment ," € 1495,-  ",45 m2, - 1 bedroom ,Furnished,52.352478,4.902167,Rent
Kamernet,amsterdam,1106AG, - Room ," € 425,-  ",10 m2,,Furnished,52.297944,4.974685,Rent
Kamernet,amsterdam,1065LW, - Apartment ," € 1100,-  Utilities incl. ",55 m2,,Furnished,52.356473,4.820365,Rent
Kamernet,amsterdam,1066LK, - Studio ," € 925,-  Utilities incl. ",25 m2, - 1 bedroom ,Furnished,52.350193,4.818115,Rent
Kamernet,amsterdam,1103SC, - Room ," € 700,-  Utilities incl. ",18 m2,,Furnished,52.323584,4.978151,Rent
Kamernet,amsterdam,1015RR, - Room ," € 1050,-  Utilities incl. ",20 m2,,Furnished,52.375929,4.880408,Rent
Kamernet,amsterdam,1058VG, - Room ," € 840,-  Utilities incl. ",15 m2,,Furnished,52.360542,4.854231,Rent
Kamernet,amsterdam,1078LM, - Room ," € 860,-  Utilities incl. ",13 m2,,Furnished,52.344186,4.896235,Rent
Kamernet,amsterdam,1103GZ, - Room ," € 500,-  Utilities incl. ",7 m2,,Furnished,52.321692,4.976743,Rent
Kamernet,amsterdam,1072BW, - Apartment ," € 1150,-  Utilities incl. ",50 m2, - 1 bedroom ,Furnished,52.355436,4.888385,Rent
Kamernet,amsterdam,1063MD, - Apartment ," € 1899,-  ",105 m2, - 4 bedrooms ,Unfurnished,52.378691,4.824068,Rent
Kamernet,amsterdam,1058NL, - Room ," € 900,-  Utilities incl. ",18 m2,,Furnished,52.352941,4.851286,Rent
Kamernet,amsterdam,1017VK, - Room ," € 1800,-  Utilities incl. ",60 m2,,Furnished,52.362855,4.898815,Rent
Kamernet,amsterdam,1106AG, - Room ," € 725,-  Utilities incl. ",13 m2,,Furnished,52.297944,4.974685,Rent
Kamernet,amsterdam,1106AG, - Room ," € 700,-  Utilities incl. ",85 m2,,Furnished,52.297944,4.974685,Rent
