source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1060 NK Amsterdam (De Aker),Appartement Akersingel 142,€ 435.000 k.k.,98 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/dc556e18/akersingel,2024-12-07,1060 NK
Pararius,Buy,amsterdam,1015 GJ Amsterdam (Jordaan),Appartement Brouwersgracht 643,€ 485.000 k.k.,54 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0c02681d/brouwersgracht,2024-12-07,1015 GJ
Pararius,Buy,amsterdam,1016 PT Amsterdam (Jordaan),Appartement Laurierstraat 218 3,€ 585.000 k.k.,54 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a1c9cd9f/laurierstraat,2024-12-07,1016 PT
Pararius,Buy,amsterdam,1052 SB Amsterdam (Da Costabuurt),Appartement Bilderdijkpark 6 2,€ 675.000 k.k.,72 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/837286f1/bilderdijkpark,2024-12-07,1052 SB
Pararius,Buy,amsterdam,1074 VL Amsterdam (Zuid Pijp),Appartement Tolstraat 126 2,€ 425.000 k.k.,54 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0fdfe24e/tolstraat,2024-12-07,1074 VL
Pararius,Buy,amsterdam,1097 ZZ Amsterdam (Betondorp),Appartement Schovenstraat 2,€ 400.000 k.k.,54 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/aba1f253/schovenstraat,2024-12-07,1097 ZZ
Pararius,Buy,amsterdam,1051 CP Amsterdam (Staatsliedenbuurt),Appartement De Kempenaerstraat 42 1,€ 365.000 k.k.,36 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/912045de/de-kempenaerstraat,2024-12-07,1051 CP
Pararius,Buy,amsterdam,1057 SX Amsterdam (Hoofdweg e.o.),Appartement Baffinstraat 10 1,€ 400.000 k.k.,48 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/46c85613/baffinstraat,2024-12-07,1057 SX
Pararius,Buy,amsterdam,1016 LB Amsterdam (Jordaan),Appartement Bloemstraat 26 1,€ 385.000 k.k.,38 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/4d9060e6/bloemstraat,2024-12-07,1016 LB
Pararius,Buy,amsterdam,1060 RL Amsterdam (De Aker),Appartement H. Diesveldsingel 196,€ 625.000 k.k.,106 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/c6886a2e/h-diesveldsingel,2024-12-07,1060 RL
Pararius,Buy,amsterdam,1066 GG Amsterdam (Sloten/Nieuw-Sloten),Appartement Duke Ellingtonstraat 77,€ 525.000 k.k.,85 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/69b6f950/duke-ellingtonstraat,2024-12-07,1066 GG
Pararius,Buy,amsterdam,1069 TD Amsterdam (Osdorp-Midden),Appartement H. Gerhardstraat 116,€ 370.000 k.k.,59 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/75f68bd3/h-gerhardstraat,2024-12-07,1069 TD
Pararius,Buy,amsterdam,1052 VG Amsterdam (Frederik Hendrikbuurt),Appartement Gillis van Ledenberchstraat 2 C,€ 685.000 k.k.,77 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/6817d367/gillis-van-ledenberchstraat,2024-12-07,1052 VG
Pararius,Buy,amsterdam,1057 GG Amsterdam (Chassébuurt),Appartement Admiralengracht 144 2,€ 425.000 k.k.,52 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/556c2414/admiralengracht,2024-12-07,1057 GG
Pararius,Buy,amsterdam,1024 TR Amsterdam (Waterlandpleinbuurt),Appartement Alkmaarstraat 263,€ 365.000 k.k.,78 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b3002643/alkmaarstraat,2024-12-07,1024 TR
Pararius,Buy,amsterdam,1055 EB Amsterdam (Landlust),Appartement Bos en Lommerweg 10 2,€ 375.000 k.k.,48 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/c9b59557/bos-en-lommerweg,2024-12-07,1055 EB
Pararius,Buy,amsterdam,1014 ZG Amsterdam (Houthavens),Appartement Revaleiland 33,€ 775.000 k.k.,110 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0604f6cd/revaleiland,2024-12-07,1014 ZG
Pararius,Buy,amsterdam,1078 AJ Amsterdam (IJselbuurt),Appartement Amstelkade 50 3,€ 525.000 k.k.,65 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/424ae191/amstelkade,2024-12-07,1078 AJ
Pararius,Buy,amsterdam,1072 JG Amsterdam (Nieuwe Pijp),Appartement Cornelis Trooststraat 44 3,€ 550.000 k.k.,60 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f2e89ce7/cornelis-trooststraat,2024-12-07,1072 JG
Pararius,Buy,amsterdam,1055 CE Amsterdam (Erasmuspark),Appartement Esmoreitstraat 26 3,€ 750.000 k.k.,112 m²,6 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b3cf13c5/esmoreitstraat,2024-12-07,1055 CE
Pararius,Buy,amsterdam,1034 VC Amsterdam (Banne Buiksloot),Appartement Achtersteven 42,€ 385.000 k.k.,92 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b2f804ff/achtersteven,2024-12-07,1034 VC
Pararius,Buy,amsterdam,1051 CA Amsterdam (Staatsliedenbuurt),Appartement Van Hogendorpstraat 195 1,€ 375.000 k.k.,40 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/bd5ab020/van-hogendorpstraat,2024-12-07,1051 CA
Pararius,Buy,amsterdam,1103 KV Amsterdam (Geerdinkhof/Kantershof),Appartement Gouden Leeuw 907,€ 250.000 k.k.,53 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/48845116/gouden-leeuw,2024-12-07,1103 KV
Pararius,Buy,amsterdam,1053 SH Amsterdam (Van Lennepbuurt),Appartement Tweede Kostverlorenkade 156 2,€ 350.000 k.k.,48 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/153a994b/tweede-kostverlorenkade,2024-12-07,1053 SH
Pararius,Buy,amsterdam,1076 ED Amsterdam (Zuidas),Appartement Fred. Roeskestraat 92 C 13,€ 2.200.000 k.k.,199 m²,6 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/c11f6fbc/fred-roeskestraat,2024-12-07,1076 ED
Pararius,Buy,amsterdam,1074 AM Amsterdam (Zuid Pijp),Appartement Van Woustraat 181 4,€ 375.000 k.k.,46 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f33062b3/van-woustraat,2024-12-07,1074 AM
Pararius,Buy,amsterdam,1017 AX Amsterdam (Grachtengordel-Zuid),Appartement Singel 518 B,€ 749.000 k.k.,91 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/fee2b5fd/singel,2024-12-07,1017 AX
Pararius,Buy,amsterdam,1093 HV Amsterdam (Dapperbuurt),Appartement Wijttenbachstraat 57 B,€ 900.000 k.k.,128 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/99688b27/wijttenbachstraat,2024-12-07,1093 HV
Pararius,Buy,amsterdam,1063 PR Amsterdam (Slotermeer-West),Appartement Jacques Oppenheimstraat 4 1,€ 315.000 k.k.,66 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/5b4419ea/jacques-oppenheimstraat,2024-12-07,1063 PR
Pararius,Buy,amsterdam,1057 ZV Amsterdam (Chassébuurt),Appartement Filips van Almondestraat 22 3,€ 425.000 k.k.,55 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f2ce9498/filips-van-almondestraat,2024-12-07,1057 ZV
Pararius,Buy,amsterdam,1055 WE Amsterdam (Landlust),Appartement Jan den Haenstraat 18 C,€ 450.000 k.k.,54 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/432b922b/jan-den-haenstraat,2024-12-07,1055 WE
Pararius,Buy,amsterdam,1053 NZ Amsterdam (Van Lennepbuurt),Appartement Lootsstraat 30 2,€ 365.000 k.k.,36 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/24144c18/lootsstraat,2024-12-07,1053 NZ
Pararius,Buy,amsterdam,1102 HE Amsterdam (H-buurt),Appartement Hogevecht 108,€ 275.000 k.k.,64 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/6eb2acbf/hogevecht,2024-12-07,1102 HE
Pararius,Buy,amsterdam,1015 VG Amsterdam (Jordaan),Appartement Marnixstraat 95 E,€ 425.000 k.k.,43 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b3a31b0c/marnixstraat,2024-12-07,1015 VG
Pararius,Buy,amsterdam,1075 SH Amsterdam (Schinkelbuurt),Appartement Zeilstraat 30 1,€ 500.000 k.k.,62 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/988da115/zeilstraat,2024-12-07,1075 SH
Pararius,Buy,amsterdam,1015 LW Amsterdam (Jordaan),Appartement Westerstraat 85 3,€ 450.000 k.k.,55 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f61ec49b/westerstraat,2024-12-07,1015 LW
Pararius,Buy,amsterdam,1072 TG Amsterdam (Nieuwe Pijp),Appartement Van Ostadestraat 166 3A,€ 475.000 k.k.,40 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f325ed0b/van-ostadestraat,2024-12-07,1072 TG
Pararius,Buy,amsterdam,1072 TG Amsterdam (Nieuwe Pijp),Appartement Van Ostadestraat 166 4A,€ 425.000 k.k.,34 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/00a6f442/van-ostadestraat,2024-12-07,1072 TG
Pararius,Buy,amsterdam,1018 ER Amsterdam (Weesperbuurt/Plantage),Appartement Amstel 157 3,€ 1.395.000 k.k.,138 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/911c95b3/amstel,2024-12-07,1018 ER
Pararius,Buy,amsterdam,1053 VN Amsterdam (Bellamybuurt),Appartement Bilderdijkkade 50 B 4,€ 1.500.000 k.k.,158 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0237e338/bilderdijkkade,2024-12-07,1053 VN
Pararius,Buy,amsterdam,1072 XH Amsterdam (Oude Pijp),Appartement Daniël Stalpertstraat 42 3,€ 575.000 k.k.,59 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d54f440c/daniel-stalpertstraat,2024-12-07,1072 XH
Pararius,Buy,amsterdam,1059 EK Amsterdam (Hoofddorppleinbuurt),Appartement Leimuidenstraat 44 2,€ 1.050.000 k.k.,128 m²,6 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/664369ac/leimuidenstraat,2024-12-07,1059 EK
Pararius,Buy,amsterdam,1064 CM Amsterdam (Slotermeer-Zuidoost),Appartement Burgemeester Hogguerstraat 181,€ 325.000 k.k.,45 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/cd463179/burgemeester-hogguerstraat,2024-12-07,1064 CM
Pararius,Buy,amsterdam,1018 PH Amsterdam (Oostelijke Eilanden/Kadijken),Appartement Czaar Peterstraat 149 1,€ 450.000 k.k.,55 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/976f510a/czaar-peterstraat,2024-12-07,1018 PH
Pararius,Buy,amsterdam,1079 BS Amsterdam (Rijnbuurt),Appartement Uiterwaardenstraat 71 2,€ 485.000 k.k.,51 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/7443f51e/uiterwaardenstraat,2024-12-07,1079 BS
Pararius,Buy,amsterdam,1054 LZ Amsterdam (Overtoomse Sluis),Appartement Zocherstraat 40 1,€ 500.000 k.k.,51 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/b610dab7/zocherstraat,2024-12-07,1054 LZ
Pararius,Buy,amsterdam,1019 GR Amsterdam (Oostelijk Havengebied),Appartement J.C. van Epenstraat 89,€ 400.000 k.k.,56 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/804870c5/j-c-van-epenstraat,2024-12-07,1019 GR
Pararius,Buy,amsterdam,1055 MJ Amsterdam (Landlust),Appartement Admiraal De Ruijterweg 521 A 3,€ 300.000 k.k.,30 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/515789e2/admiraal-de-ruijterweg,2024-12-07,1055 MJ
Pararius,Buy,amsterdam,1067 VB Amsterdam (Geuzenveld),Appartement Bruins Slotstraat 14,€ 360.000 k.k.,71 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d6c147fa/bruins-slotstraat,2024-12-07,1067 VB
Pararius,Buy,amsterdam,1068 JE Amsterdam (Osdorp-Oost),Appartement Eastonstraat 163,€ 385.000 k.k.,76 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/63d0025a/eastonstraat,2024-12-07,1068 JE
Pararius,Buy,amsterdam,1076 LS Amsterdam (Stadionbuurt),Appartement Agamemnonstraat 65 1,€ 650.000 k.k.,70 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/23118e77/agamemnonstraat,2024-12-07,1076 LS
Pararius,Buy,amsterdam,1077 SZ Amsterdam (Apollobuurt),Appartement Stadionweg 146 4,€ 850.000 k.k.,114 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/df14a9bf/stadionweg,2024-12-07,1077 SZ
Pararius,Buy,amsterdam,1013 VL Amsterdam (Spaarndammerbuurt/Zeeheldenbuurt),Appartement Houtrijkstraat 194,€ 350.000 k.k.,34 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/48e72da5/houtrijkstraat,2024-12-07,1013 VL
Pararius,Buy,amsterdam,1013 TP Amsterdam (Spaarndammerbuurt/Zeeheldenbuurt),Appartement Knollendamstraat 98,€ 800.000 k.k.,117 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/5616ba0d/knollendamstraat,2024-12-07,1013 TP
Pararius,Buy,amsterdam,1017 XH Amsterdam (De Weteringschans),Appartement Weteringschans 235 E,€ 575.000 k.k.,64 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/401aad1f/weteringschans,2024-12-07,1017 XH
Pararius,Buy,amsterdam,1095 TR Amsterdam (Indische Buurt-Oost),Appartement Gorontalostraat 18 B,€ 400.000 k.k.,53 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/a496dbec/gorontalostraat,2024-12-07,1095 TR
Pararius,Buy,amsterdam,1054 JC Amsterdam (Helmersbuurt),Appartement Overtoom 298 2,€ 680.000 k.k.,80 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0e3c8f98/overtoom,2024-12-07,1054 JC
Pararius,Buy,amsterdam,1059 GC Amsterdam (Westlandgracht),Appartement Honselersdijkstraat 22 4,€ 400.000 k.k.,61 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/fb1339a3/honselersdijkstraat,2024-12-07,1059 GC
Pararius,Buy,amsterdam,1056 DM Amsterdam (Van Galenbuurt),Appartement Marco Polostraat 249 3,€ 585.000 k.k.,69 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d4ff1e04/marco-polostraat,2024-12-07,1056 DM
