buurt;wijk;stadsdeel_onderverdeling;stadsdeel
Westelijke eilanden;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Westerdokseiland;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Driehoekbuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Zaagpoortbuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Bloemgrachtbuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Groenmarktkadebuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Elandsgrachtbuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Passeerdersgrachtbuurt;Jordaan;Centrum-West;Stadsdeel Centrum
Langestraat e.o.;Grachtengordel-West;Centrum-West;Stadsdeel Centrum
Leliegracht e.o.;Grachtengordel-West;Centrum-West;Stadsdeel Centrum
Felix Meritisbuurt;Grachtengordel-West;Centrum-West;Stadsdeel Centrum
Stationsplein e.o.;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Nieuwe Kerk e.o.;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Begijnhofbuurt;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Kalverdriehoek;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Kop Zeedijk;Burgwallen-Oude Zijde;Centrum-West;Stadsdeel Centrum
Oude Kerk e.o.;Burgwallen-Oude Zijde;Centrum-West;Stadsdeel Centrum
Nes e.o.;Burgwallen-Oude Zijde;Centrum-West;Stadsdeel Centrum
BG-terrein e.o.;Burgwallen-Oude Zijde;Centrum-West;Stadsdeel Centrum
Oosterdokseiland;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Lastage;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Scheepvaarthuisbuurt;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Rapenburg;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Nieuwmarkt;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Uilenburg;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Valkenburg;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Zuiderkerkbuurt;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Waterloopleinbuurt;Nieuwmarkt/Lastage;Centrum-Oost;Stadsdeel Centrum
Spiegelbuurt;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Amstelveldbuurt;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Weteringbuurt;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Den Texbuurt;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Frederikspleinbuurt;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Weesperbuurt;Weesperbuurt/Plantage;Centrum-Oost;Stadsdeel Centrum
Plantage;Weesperbuurt/Plantage;Centrum-Oost;Stadsdeel Centrum
Sarphatistrook;Weesperbuurt/Plantage;Centrum-Oost;Stadsdeel Centrum
Alexanderplein e.o.;Weesperbuurt/Plantage;Centrum-Oost;Stadsdeel Centrum
Marine-Etablissement;Oostelijke Eilanden/Kadijken;Centrum-Oost;Stadsdeel Centrum
Kattenburg;Oostelijke Eilanden/Kadijken;Centrum-Oost;Stadsdeel Centrum
Wittenburg;Oostelijke Eilanden/Kadijken;Centrum-Oost;Stadsdeel Centrum
Oostenburg;Oostelijke Eilanden/Kadijken;Centrum-Oost;Stadsdeel Centrum
